id,city,name,theme,duration_hours,cost_usd,opening_hours,notes
A0001,New York City,Central Park,sports,1.0,40,08:00-20:00,Accessible by transit
A0002,New York City,The Metropolitan Museum of Art,family,2.6,30,10:00-17:00,Great photo spots
A0003,New York City,Times Square,beach,3.0,40,08:00-19:00,Book ahead
A0004,New York City,Statue of Liberty,music,3.1,20,08:00-17:00,Local favorite
A0005,New York City,Brooklyn Bridge,sports,1.2,40,08:00-19:00,Local favorite
A0006,New York City,High Line,history,2.8,120,11:00-17:00,Popular with students
A0007,New York City,Museum of Modern Art,music,2.4,85,11:00-20:00,Popular with students
A0008,New York City,Broadway Theaters,nightlife,3.8,65,09:00-19:00,Accessible by transit
A0009,New York City,Grand Central Terminal,sports,3.1,65,11:00-21:00,Good for groups
A0010,New York City,9/11 Memorial & Museum,music,1.8,15,08:00-20:00,Book ahead
A0011,New York City,American Museum of Natural History,arts,1.5,65,10:00-19:00,Great photo spots
A0012,New York City,Rockefeller Center,themepark,2.6,65,09:00-19:00,Good for groups
A0013,New York City,Bryant Park,arts,1.4,0,11:00-17:00,Popular with students
A0014,New York City,Chelsea Market,themepark,2.3,40,11:00-17:00,Popular with students
A0015,New York City,Fifth Avenue,food,2.2,120,08:00-20:00,Book ahead
A0016,Seattle,Pike Place Market,history,3.4,15,08:00-17:00,Great photo spots
A0017,Seattle,Space Needle,music,1.7,15,08:00-21:00,Great photo spots
A0018,Seattle,Chihuly Garden and Glass,themepark,2.6,20,10:00-20:00,Accessible by transit
A0019,Seattle,Museum of Pop Culture,nature,2.8,50,08:00-21:00,Local favorite
A0020,Seattle,Seattle Art Museum,food,2.6,65,10:00-21:00,Popular with students
A0021,Seattle,Kerry Park,food,1.3,15,09:00-21:00,Good for groups
A0022,Seattle,Seattle Aquarium,nature,3.0,40,09:00-21:00,Accessible by transit
A0023,Seattle,Ballard Locks,beach,1.8,50,10:00-21:00,Book ahead
A0024,Seattle,Gas Works Park,sports,2.9,15,08:00-21:00,Accessible by transit
A0025,Seattle,The Fremont Troll,family,1.7,15,10:00-21:00,Good for groups
A0026,Seattle,Discovery Park,music,1.9,40,10:00-18:00,Accessible by transit
A0027,Seattle,Alki Beach,music,1.8,30,11:00-20:00,Book ahead
A0028,Seattle,Olympic Sculpture Park,themepark,3.4,20,09:00-21:00,Popular with students
A0029,Seattle,Seattle Great Wheel,food,1.8,20,10:00-19:00,Local favorite
A0030,Seattle,Washington Park Arboretum,themepark,3.8,65,11:00-18:00,Local favorite
A0031,San Francisco,Golden Gate Bridge,sports,1.3,15,09:00-20:00,Local favorite
A0032,San Francisco,Alcatraz Island,sports,2.6,65,08:00-18:00,Accessible by transit
A0033,San Francisco,Fisherman's Wharf,nightlife,3.1,30,10:00-21:00,Local favorite
A0034,San Francisco,Golden Gate Park,sports,1.9,65,11:00-18:00,Accessible by transit
A0035,San Francisco,Palace of Fine Arts,history,3.9,50,11:00-17:00,Good for groups
